Matrix,Group,Distribution,AIC,Parameters
L,Common_L,Results for Stop 13,,
L,Common_L,weibull_min,108.77803261667506,"(0.5927793029231587, 4.917975806181697, 99.62901774383081)"
L,Common_L,gamma,121.15976466800247,"(0.7193184613683786, 4.917975806181697, 157.8775761317296)"
L,Common_L,beta,128.9875532738925,"(0.20749476534727407, 0.5428823457823275, -58.31340330335917, 730.0897198682501)"
L,Common_L,lognorm,137.99099416818925,"(4.536570429709611, 4.9179758059945, 0.1623146171215854)"
L,Common_L,expon,140.98278338652716,"(4.917975806181698, 186.13833874057872)"
L,Common_L,norm,154.65334368172987,"(191.0563145467604, 227.9077005985592)"
L,Common_L,poisson,2796.8227471597725,"(191.0,)"
,,,,
L,Common_L,Results for Stop 15,,
L,Common_L,weibull_min,28.912900882896636,"(0.14952888304560347, 66.6361445659087, 237.27307313409216)"
L,Common_L,lognorm,33.89189257663683,"(14.661075831348526, 66.6361445659087, 74.06779342939112)"
L,Common_L,gamma,48.11398616762105,"(0.552126813564823, 66.6361445659087, 207.28686329170245)"
L,Common_L,beta,53.17621762002443,"(0.09593556373676487, 0.35352790219251967, -9.607139951347454, 836.0624452058206)"
L,Common_L,expon,78.6300297577773,"(66.63614456590871, 184.78059466713023)"
L,Common_L,norm,88.28187420910756,"(251.41673923303892, 271.6599184549095)"
L,Common_L,poisson,1454.1973405052056,"(251.33333333333334,)"
,,,,
L,Common_L,Results for Stop 1,,
L,Common_L,lognorm,16.624221747504052,"(10.935190993347025, 4.550314369259717, 10.424553190050105)"
L,Common_L,gamma,25.00728335571555,"(0.40746605551374715, 4.550314369259717, 322.0514805734772)"
L,Common_L,weibull_min,27.10387547221123,"(0.45657678120675094, 4.550314369259717, 233.337033669959)"
L,Common_L,beta,33.64417118732466,"(0.037163431535385774, 0.12175000985322501, -99.07113673699232, 1163.2679197343998)"
L,Common_L,expon,69.4608307005187,"(4.550314369259718, 256.2319451583915)"
L,Common_L,norm,78.30041253570158,"(260.7822595276512, 407.9329082691245)"
L,Common_L,poisson,2674.301985275246,"(260.8,)"
,,,,
L,Common_L,Results for Stop 8,,
L,Common_L,beta,51.16248163754199,"(0.08690949753924304, 0.361529580041031, 5.151908535141184, 811.0989551200526)"
L,Common_L,gamma,59.374210709992795,"(0.3075862488834951, 5.151908535141184, 347.1670189798639)"
L,Common_L,lognorm,72.14256269346183,"(12.890738833866134, 5.1519085351411835, 225.2459883274381)"
L,Common_L,weibull_min,73.82965742424005,"(0.477624376319695, 5.151908535141184, 352.0645826144215)"
L,Common_L,expon,109.81985576583921,"(5.151908535141185, 131.4834352338722)"
L,Common_L,norm,128.71602714221572,"(136.6353437690134, 247.08431665753676)"
